Fecha,Nombre Corto,Localidad,Comuna,Grupo Cliente,Clientes,M3 Ap
2029-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,161284.2870237918
2029-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,161493.9764932644
2029-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,161703.665962737
2030-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,161913.35543220956
2030-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,162123.04490168215
2030-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,162332.73437115474
2030-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,162542.4238406273
2030-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,162752.11331009993
2030-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,162961.8027795725
2030-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,163171.49224904508
2030-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,163381.18171851768
2030-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,163590.87118799024
2030-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,163800.56065746283
2030-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,164010.25012693543
2030-12-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,No Residencial,1840.6166985696361,164219.93959640802
2025-01-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28477.393947543787,524894.1963019023
2025-02-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28496.67622578806,526232.0072355212
2025-03-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28514.907431565713,527569.81816914
2025-04-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28532.1448585905,528907.629102759
2025-05-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28548.442677509254,530245.4400363779
2025-06-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28563.85210613956,531583.2509699967
2025-07-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28578.421570427767,532921.0619036156
2025-08-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28592.196856633247,534258.8728372345
2025-09-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28605.221255217104,535596.6837708533
2025-10-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28617.535696887557,536934.4947044723
2025-11-01,AGUAS ANDINAS,BUIN - PAINE - LINDEROS - MAIPO - ALTO JAHUEL,BUIN,Residencial,28629.178881229513,538272.305638091
